Rank,Player,Team,Pos,Value
1,Joel Embiid,Philadelphia 76ers,C,11.44
2,Giannis Antetokounmpo,Milwaukee Bucks,SF,11.39
3,James Harden,Philadelphia 76ers,SG,7.94
4,Jimmy Butler,Miami Heat,PF,7.93
5,Luka Doncic,Dallas Mavericks,SF,7.8
6,DeMar DeRozan,Chicago Bulls,SG,7.69
7,Ja Morant,Memphis Grizzlies,PG,7.61
8,Kevin Durant,Brooklyn Nets,SF,7.55
9,Trae Young,Atlanta Hawks,PG,7.27
10,Rudy Gobert,Utah Jazz,C,6.71
11,Karl-Anthony Towns,Minnesota Timberwolves,C,6.46
12,Jayson Tatum,Boston Celtics,SF,6.39
13,Nikola Jokic,Denver Nuggets,C,6.34
14,Brandon Ingram,New Orleans Pelicans,SF,6.02
15,De'Aaron Fox,Sacramento Kings,PG,5.9
16,RJ Barrett,New York Knicks,SF,5.8
17,Bam Adebayo,Miami Heat,C,5.62
18,Pascal Siakam,Toronto Raptors,PF,5.61
19,Julius Randle,New York Knicks,PF,5.57
20,Zach LaVine,Chicago Bulls,PG,5.49
21,Harrison Barnes,Sacramento Kings,SF,5.36
22,Domantas Sabonis,Sacramento Kings,PF,5.35
23,Devin Booker,Phoenix Suns,SG,5.33
24,Russell Westbrook,Los Angeles Lakers,PG,5.12
25,Jaylen Brown,Boston Celtics,SG,4.99
26,Stephen Curry,Golden State Warriors,PG,4.97
27,Christian Wood,Houston Rockets,PF,4.88
28,Donovan Mitchell,Utah Jazz,SG,4.86
29,Jaren Jackson Jr.,Memphis Grizzlies,PF,4.42
30,Khris Middleton,Milwaukee Bucks,SF,4.32
31,Montrezl Harrell,Charlotte Hornets,PF,4.19
32,Miles Bridges,Charlotte Hornets,SF,4.14
33,Anthony Edwards,Minnesota Timberwolves,SG,4.05
34,Jonas Valanciunas,New Orleans Pelicans,C,3.99
35,Cole Anthony,Orlando Magic,PG,3.89
36,Bojan Bogdanovic,Utah Jazz,SF,3.79
37,Spencer Dinwiddie,Dallas Mavericks,PG,3.75
38,D'Angelo Russell,Minnesota Timberwolves,PG,3.67
39,Evan Mobley,Cleveland Cavaliers,C,3.66
40,Dejounte Murray,San Antonio Spurs,PG,3.65
41,Darius Garland,Cleveland Cavaliers,PG,3.56
42,Jalen Green,Houston Rockets,SG,3.52
43,Jordan Poole,Golden State Warriors,SG,3.44
44,Tyrese Maxey,Philadelphia 76ers,PG,3.4
45,Wendell Carter Jr.,Orlando Magic,C,3.34
46,LaMelo Ball,Charlotte Hornets,PG,3.33
47,Kyle Kuzma,Washington Wizards,PF,3.32
48,Fred VanVleet,Toronto Raptors,PG,3.3
49,Caris LeVert,Cleveland Cavaliers,SG,3.3
50,Alec Burks,New York Knicks,SG,3.26
51,Trey Lyles,Sacramento Kings,PF,3.24
52,Aaron Gordon,Denver Nuggets,PF,3.23
53,Alperen Sengun,Houston Rockets,C,3.22
54,Kevin Porter Jr.,Houston Rockets,SG,3.16
55,Andrew Wiggins,Golden State Warriors,SF,3.16
56,Keldon Johnson,San Antonio Spurs,SF,3.14
57,De'Andre Hunter,Atlanta Hawks,PF,3.13
58,Jalen Brunson,Dallas Mavericks,PG,3.12
59,Saddiq Bey,Detroit Pistons,SF,3.1
60,Chris Paul,Phoenix Suns,PG,3.06
61,Tyler Herro,Miami Heat,SG,3.04
62,John Collins,Atlanta Hawks,PF,3.03
63,Ivica Zubac,Los Angeles Clippers,C,3.01
64,Scottie Barnes,Toronto Raptors,SF,2.96
65,Gary Trent Jr.,Toronto Raptors,SG,2.93
66,Derrick White,Boston Celtics,PG,2.92
67,CJ McCollum,New Orleans Pelicans,SG,2.9
68,Dennis Schroder,Houston Rockets,PG,2.88
69,Jakob Poeltl,San Antonio Spurs,C,2.81
70,Franz Wagner,Orlando Magic,SF,2.77
71,Garrison Mathews,Houston Rockets,SG,2.77
72,Jrue Holiday,Milwaukee Bucks,PG,2.67
73,Kyle Lowry,Miami Heat,PG,2.64
74,Tobias Harris,Philadelphia 76ers,SF,2.64
75,Kevin Love,Cleveland Cavaliers,PF,2.63
76,Cade Cunningham,Detroit Pistons,PG,2.63
77,Marcus Smart,Boston Celtics,PG,2.62
78,Immanuel Quickley,New York Knicks,SG,2.58
79,Jaxson Hayes,New Orleans Pelicans,C,2.56
80,Lauri Markkanen,Cleveland Cavaliers,PF,2.56
81,Jeff Green,Denver Nuggets,SF,2.54
82,Steven Adams,Memphis Grizzlies,C,2.53
83,Mitchell Robinson,New York Knicks,C,2.51
84,Jonathan Kuminga,Golden State Warriors,PF,2.51
85,Tyrese Haliburton,Indiana Pacers,PG,2.47
86,Deandre Ayton,Phoenix Suns,C,2.46
87,Darius Bazley,Oklahoma City Thunder,SF,2.46
88,Kelly Oubre Jr.,Charlotte Hornets,SF,2.45
89,Oshae Brissett,Indiana Pacers,PF,2.45
90,Patrick Beverley,Minnesota Timberwolves,PG,2.45
91,Dwight Howard,Los Angeles Lakers,C,2.43
92,Brandon Clarke,Memphis Grizzlies,PF,2.42
93,Terry Rozier,Charlotte Hornets,PG,2.42
94,Hamidou Diallo,Detroit Pistons,PG,2.41
95,Hassan Whiteside,Utah Jazz,C,2.41
96,Danilo Gallinari,Atlanta Hawks,SF,2.38
97,Chris Boucher,Toronto Raptors,PF,2.36
98,Jae'Sean Tate,Houston Rockets,SF,2.36
99,Dwight Powell,Dallas Mavericks,PF,2.35
100,Mason Plumlee,Charlotte Hornets,PF,2.34
